STATUS;VALID_ON;LOT_TYPE_FK;IDE_CG_REF;IDE_CRM_GROUP_REF;IDE_POSITION_REF;IDE_POSITION_TYPE;IDE_EXP_CPTY_REF;IDE_COL_CPTY_REF;RCA_COL_MAX
5;20231231;1;CRM_1007852_606192;CRM_1007852;POS_606192;3;;;
5;20231231;1;CRM_1009623_606193;CRM_1009623;POS_606193;3;;;
5;20231231;1;CRM_1009624_606194;CRM_1009624;POS_606194;3;;;
5;20231231;1;CRM_1009624_606195;CRM_1009624;POS_606195;3;;;
5;20231231;1;CRM_1009625_606196;CRM_1009625;POS_606196;3;;;
5;20231231;1;CRM_1009636_606198;CRM_1009636;POS_606198;3;;;
5;20231231;1;CRM_1007895_606199;CRM_1007895;POS_606199;3;;;
5;20231231;1;CRM_1007895_606200;CRM_1007895;POS_606200;3;;;
5;20231231;1;CRM_1007895_606201;CRM_1007895;POS_606201;3;;;
5;20231231;1;CRM_0906783_606203;CRM_0906783;POS_606203;3;;;
5;20231231;1;CRM_1009640_606205;CRM_1009640;POS_606205;3;;;
5;20231231;1;CRM_1009642_606208;CRM_1009642;POS_606208;3;;;
5;20231231;1;CRM_1009642_606209;CRM_1009642;POS_606209;3;;;
5;20231231;1;CRM_1009643_606210;CRM_1009643;POS_606210;3;;;
5;20231231;1;CRM_1009645_606213;CRM_1009645;POS_606213;3;;;
5;20231231;1;CRM_1009645_606214;CRM_1009645;POS_606214;3;;;
5;20231231;1;CRM_1009647_606215;CRM_1009647;POS_606215;3;;;
5;20231231;1;CRM_1009647_606216;CRM_1009647;POS_606216;3;;;
5;20231231;1;CRM_1009656_606220;CRM_1009656;POS_606220;3;;;
5;20231231;1;CRM_0951887_606223;CRM_0951887;POS_606223;3;;;
5;20231231;1;CRM_1009660_606228;CRM_1009660;POS_606228;3;;;
5;20231231;1;CRM_1009661_606230;CRM_1009661;POS_606230;3;;;
5;20231231;1;CRM_1007950_606231;CRM_1007950;POS_606231;3;;;
5;20231231;1;CRM_1007950_606232;CRM_1007950;POS_606232;3;;;
5;20231231;1;CRM_1009664_606235;CRM_1009664;POS_606235;3;;;
5;20231231;1;CRM_1009665_606236;CRM_1009665;POS_606236;3;;;
5;20231231;1;CRM_1009666_606239;CRM_1009666;POS_606239;3;;;
5;20231231;1;CRM_1009367_606240;CRM_1009367;POS_606240;3;;;
5;20231231;1;CRM_1009667_606241;CRM_1009667;POS_606241;3;;;
5;20231231;1;CRM_1009667_606242;CRM_1009667;POS_606242;3;;;
5;20231231;1;CRM_1009669_606244;CRM_1009669;POS_606244;3;;;
5;20231231;1;CRM_1009669_606245;CRM_1009669;POS_606245;3;;;
5;20231231;1;CRM_1003258_606247;CRM_1003258;POS_606247;3;;;
5;20231231;1;CRM_1009690_606248;CRM_1009690;POS_606248;3;;;
5;20231231;1;CRM_1009047_606249;CRM_1009047;POS_606249;3;;;
5;20231231;1;CRM_1009692_606251;CRM_1009692;POS_606251;3;;;
5;20231231;1;CRM_1009695_606255;CRM_1009695;POS_606255;3;;;
5;20231231;1;CRM_1009696_606256;CRM_1009696;POS_606256;3;;;
5;20231231;1;CRM_1009697_606258;CRM_1009697;POS_606258;3;;;
5;20231231;1;CRM_1009705_606261;CRM_1009705;POS_606261;3;;;
5;20231231;1;CRM_1009718_606264;CRM_1009718;POS_606264;3;;;
5;20231231;1;CRM_1009720_606265;CRM_1009720;POS_606265;3;;;
5;20231231;1;CRM_1009723_606266;CRM_1009723;POS_606266;3;;;
5;20231231;1;CRM_1009724_606267;CRM_1009724;POS_606267;3;;;
5;20231231;1;CRM_1009725_606268;CRM_1009725;POS_606268;3;;;
5;20231231;1;CRM_1009727_606270;CRM_1009727;POS_606270;3;;;
5;20231231;1;CRM_1009727_606271;CRM_1009727;POS_606271;3;;;
5;20231231;1;CRM_1009743_606275;CRM_1009743;POS_606275;3;;;
5;20231231;1;CRM_1009747_606277;CRM_1009747;POS_606277;3;;;
5;20231231;1;CRM_1009748_606278;CRM_1009748;POS_606278;3;;;
5;20231231;1;CRM_1009749_606279;CRM_1009749;POS_606279;3;;;
5;20231231;1;CRM_1009750_606280;CRM_1009750;POS_606280;3;;;
5;20231231;1;CRM_1009750_606281;CRM_1009750;POS_606281;3;;;
5;20231231;1;CRM_1009753_606283;CRM_1009753;POS_606283;3;;;
5;20231231;1;CRM_1009754_606284;CRM_1009754;POS_606284;3;;;
5;20231231;1;CRM_1009754_606285;CRM_1009754;POS_606285;3;;;
5;20231231;1;CRM_1009754_606286;CRM_1009754;POS_606286;3;;;
5;20231231;1;CRM_1009755_606287;CRM_1009755;POS_606287;3;;;
5;20231231;1;CRM_1009367_606289;CRM_1009367;POS_606289;3;;;
5;20231231;1;CRM_1009757_606290;CRM_1009757;POS_606290;3;;;
5;20231231;1;CRM_1009759_606292;CRM_1009759;POS_606292;3;;;
5;20231231;1;CRM_1009760_606295;CRM_1009760;POS_606295;3;;;
5;20231231;1;CRM_1009771_606297;CRM_1009771;POS_606297;3;;;
5;20231231;1;CRM_1009771_606298;CRM_1009771;POS_606298;3;;;
5;20231231;1;CRM_1009775_606303;CRM_1009775;POS_606303;3;;;
5;20231231;1;CRM_1009775_606304;CRM_1009775;POS_606304;3;;;
5;20231231;1;CRM_1009777_606309;CRM_1009777;POS_606309;3;;;
5;20231231;1;CRM_1009778_606312;CRM_1009778;POS_606312;3;;;
5;20231231;1;CRM_1009781_606313;CRM_1009781;POS_606313;3;;;
5;20231231;1;CRM_1009793_606321;CRM_1009793;POS_606321;3;;;
5;20231231;1;CRM_1009793_606322;CRM_1009793;POS_606322;3;;;
5;20231231;1;CRM_1009826_606327;CRM_1009826;POS_606327;3;;;
5;20231231;1;CRM_1009829_606328;CRM_1009829;POS_606328;3;;;
