STATUS;VALID_ON;LOT_TYPE_FK;IDE_LIMIT_REF;CDE_C013;RCA_INCREASING_AMOUNT;TYP_CP_MOB_CD;TYP_COND_CREDIT;TYP_OWN_FUND_GUAR;PRD_PRODUCT;CDE_C022;AUDIT_INFO
5;20240331;1;LIM_024100;;;;2;;;;
5;20240331;1;LIM_024101;;;;2;;;;
5;20240331;1;LIM_024109;;;;2;;;;
5;20240331;1;LIM_024124;;;;2;;;;
5;20240331;1;LIM_024125;;;;2;;;;
5;20240331;1;LIM_024126;;;;2;;;;
5;20240331;1;LIM_024153;;;;2;;;;
5;20240331;1;LIM_024172;;;;2;;;;
5;20240331;1;LIM_024173;;;;2;;;;
5;20240331;1;LIM_024174;;;;2;;;;
5;20240331;1;LIM_024189;;;;2;;;;
5;20240331;1;LIM_024195;;;;2;;;;
5;20240331;1;LIM_024208;;;;2;;;;
5;20240331;1;LIM_024217;;;;2;;;;
5;20240331;1;LIM_024223;;;;2;;;;
5;20240331;1;LIM_024233;;;;2;;;;
5;20240331;1;LIM_024243;;;;2;;;;
5;20240331;1;LIM_024245;;;;2;;;;
5;20240331;1;LIM_024248;;;;2;;;;
5;20240331;1;LIM_024249;;;;2;;;;
5;20240331;1;LIM_024256;;;;2;;;;
5;20240331;1;LIM_024263;;;;2;;;;
5;20240331;1;LIM_024264;;;;2;;;;
5;20240331;1;LIM_024265;;;;2;;;;
5;20240331;1;LIM_024290;;;;2;;;;
5;20240331;1;LIM_024291;;;;2;;;;
5;20240331;1;LIM_024294;;;;2;;;;
5;20240331;1;LIM_024297;;;;2;;;;
5;20240331;1;LIM_024312;;;;2;;;;
5;20240331;1;LIM_024315;;;;2;;;;
5;20240331;1;LIM_024342;;;;2;;;;
5;20240331;1;LIM_024345;;;;2;;;;
5;20240331;1;LIM_024346;;;;2;;;;
5;20240331;1;LIM_024347;;;;2;;;;
5;20240331;1;LIM_024349;;;;2;;;;
5;20240331;1;LIM_024366;;;;2;;;;
5;20240331;1;LIM_024367;;;;2;;;;
5;20240331;1;LIM_024371;;;;2;;;;
5;20240331;1;LIM_024383;;;;2;;;;
5;20240331;1;LIM_024402;;;;2;;;;
5;20240331;1;LIM_024410;;;;2;;;;
5;20240331;1;LIM_024412;;;;2;;;;
5;20240331;1;LIM_024413;;;;2;;;;
5;20240331;1;LIM_024414;;;;2;;;;
5;20240331;1;LIM_024420;;;;2;;;;
5;20240331;1;LIM_024424;;;;2;;;;
5;20240331;1;LIM_024429;;;;2;;;;
5;20240331;1;LIM_024434;;;;2;;;;
5;20240331;1;LIM_024440;;;;2;;;;
5;20240331;1;LIM_024450;;;;2;;;;
5;20240331;1;LIM_024460;;;;2;;;;
5;20240331;1;LIM_024462;;;;2;;;;
5;20240331;1;LIM_024464;;;;2;;;;
5;20240331;1;LIM_024476;;;;2;;;;
5;20240331;1;LIM_024477;;;;2;;;;
5;20240331;1;LIM_024479;;;;2;;;;
5;20240331;1;LIM_024481;;;;2;;;;
5;20240331;1;LIM_024495;;;;2;;;;
5;20240331;1;LIM_024496;;;;2;;;;
5;20240331;1;LIM_024503;;;;2;;;;
5;20240331;1;LIM_024518;;;;2;;;;
5;20240331;1;LIM_024525;;;;2;;;;
5;20240331;1;LIM_024554;;;;2;;;;
5;20240331;1;LIM_024561;;;;2;;;;
5;20240331;1;LIM_024564;;;;2;;;;
5;20240331;1;LIM_024574;;;;2;;;;
5;20240331;1;LIM_024587;;;;2;;;;
5;20240331;1;LIM_024589;;;;2;;;;
5;20240331;1;LIM_024590;;;;2;;;;
5;20240331;1;LIM_024594;;;;2;;;;
5;20240331;1;LIM_024595;;;;2;;;;
5;20240331;1;LIM_024611;;;;2;;;;
5;20240331;1;LIM_024631;;;;2;;;;
5;20240331;1;LIM_024632;;;;2;;;;
5;20240331;1;LIM_024634;;;;2;;;;
5;20240331;1;LIM_024639;;;;2;;;;
5;20240331;1;LIM_024653;;;;2;;;;
5;20240331;1;LIM_024656;;;;2;;;;
5;20240331;1;LIM_024663;;;;2;;;;
5;20240331;1;LIM_024671;;;;2;;;;
5;20240331;1;LIM_024675;;;;2;;;;
5;20240331;1;LIM_024684;;;;2;;;;
5;20240331;1;LIM_024689;;;;2;;;;
5;20240331;1;LIM_024701;;;;2;;;;
5;20240331;1;LIM_024702;;;;2;;;;
5;20240331;1;LIM_024704;;;;2;;;;
5;20240331;1;LIM_024714;;;;2;;;;
5;20240331;1;LIM_024725;;;;2;;;;
5;20240331;1;LIM_024742;;;;2;;;;
5;20240331;1;LIM_024749;;;;2;;;;
5;20240331;1;LIM_024751;;;;2;;;;
5;20240331;1;LIM_024752;;;;2;;;;
5;20240331;1;LIM_024753;;;;2;;;;
5;20240331;1;LIM_024758;;;;2;;;;
5;20240331;1;LIM_024760;;;;2;;;;
5;20240331;1;LIM_024763;;;;2;;;;
5;20240331;1;LIM_024771;;;;2;;;;
5;20240331;1;LIM_024773;;;;2;;;;
5;20240331;1;LIM_024774;;;;2;;;;
5;20240331;1;LIM_024776;;;;2;;;;
5;20240331;1;LIM_024777;;;;2;;;;
5;20240331;1;LIM_024785;;;;2;;;;
5;20240331;1;LIM_024791;;;;2;;;;
5;20240331;1;LIM_024804;;;;2;;;;
5;20240331;1;LIM_024810;;;;2;;;;
5;20240331;1;LIM_024814;;;;2;;;;
5;20240331;1;LIM_024818;;;;2;;;;
5;20240331;1;LIM_024839;;;;2;;;;
5;20240331;1;LIM_024841;;;;2;;;;
5;20240331;1;LIM_024847;;;;2;;;;
5;20240331;1;LIM_024856;;;;2;;;;
5;20240331;1;LIM_024861;;;;2;;;;
5;20240331;1;LIM_024878;;;;2;;;;
5;20240331;1;LIM_024887;;;;2;;;;
5;20240331;1;LIM_024899;;;;2;;;;
5;20240331;1;LIM_024904;;;;2;;;;
5;20240331;1;LIM_024906;;;;2;;;;
5;20240331;1;LIM_024909;;;;2;;;;
5;20240331;1;LIM_024911;;;;2;;;;
5;20240331;1;LIM_024912;;;;2;;;;
5;20240331;1;LIM_024921;;;;2;;;;
5;20240331;1;LIM_024924;;;;2;;;;
5;20240331;1;LIM_024926;;;;2;;;;
5;20240331;1;LIM_024932;;;;2;;;;
5;20240331;1;LIM_024955;;;;2;;;;
5;20240331;1;LIM_024958;;;;2;;;;
5;20240331;1;LIM_024960;;;;2;;;;
5;20240331;1;LIM_024963;;;;2;;;;
5;20240331;1;LIM_024971;;;;2;;;;
5;20240331;1;LIM_024975;;;;2;;;;
5;20240331;1;LIM_024976;;;;2;;;;
5;20240331;1;LIM_024981;;;;2;;;;
5;20240331;1;LIM_024985;;;;2;;;;
5;20240331;1;LIM_024986;;;;2;;;;
5;20240331;1;LIM_025003;;;;2;;;;
5;20240331;1;LIM_025008;;;;2;;;;
5;20240331;1;LIM_025024;;;;2;;;;
5;20240331;1;LIM_025030;;;;2;;;;
5;20240331;1;LIM_025032;;;;2;;;;
5;20240331;1;LIM_025041;;;;2;;;;
5;20240331;1;LIM_025043;;;;2;;;;
5;20240331;1;LIM_025046;;;;2;;;;
5;20240331;1;LIM_025061;;;;2;;;;
5;20240331;1;LIM_025062;;;;2;;;;
5;20240331;1;LIM_025066;;;;2;;;;
5;20240331;1;LIM_025085;;;;2;;;;
5;20240331;1;LIM_025095;;;;2;;;;
5;20240331;1;LIM_025104;;;;2;;;;
5;20240331;1;LIM_025107;;;;2;;;;
5;20240331;1;LIM_025121;;;;2;;;;
5;20240331;1;LIM_025126;;;;2;;;;
5;20240331;1;LIM_025166;;;;2;;;;
5;20240331;1;LIM_025167;;;;2;;;;
5;20240331;1;LIM_025176;;;;2;;;;
5;20240331;1;LIM_025186;;;;2;;;;
5;20240331;1;LIM_025189;;;;2;;;;
5;20240331;1;LIM_025198;;;;2;;;;
5;20240331;1;LIM_025199;;;;2;;;;
5;20240331;1;LIM_025202;;;;2;;;;
5;20240331;1;LIM_17820;;;;2;;;;
5;20240331;1;LIM_20420;;;;2;;;;
5;20240331;1;LIM_20691;;;;2;;;;
5;20240331;1;LIM_300005;;;;2;;;;
5;20240331;1;LIM_300014;;;;2;;;;
5;20240331;1;LIM_300034;;;;2;;;;
5;20240331;1;LIM_300045;;;;2;;;;
5;20240331;1;LIM_300046;;;;2;;;;
5;20240331;1;LIM_300058;;;;2;;;;
5;20240331;1;LIM_300074;;;;2;;;;
5;20240331;1;LIM_300140;;;;2;;;;
5;20240331;1;LIM_300144;;;;2;;;;
5;20240331;1;LIM_300154;;;;2;;;;
5;20240331;1;LIM_300155;;;;2;;;;
5;20240331;1;LIM_300186;;;;2;;;;
5;20240331;1;LIM_300203;;;;2;;;;
5;20240331;1;LIM_300221;;;;2;;;;
5;20240331;1;LIM_300235;;;;2;;;;
5;20240331;1;LIM_300236;;;;2;;;;
5;20240331;1;LIM_300240;;;;2;;;;
5;20240331;1;LIM_300247;;;;2;;;;
5;20240331;1;LIM_300248;;;;2;;;;
5;20240331;1;LIM_300252;;;;2;;;;
5;20240331;1;LIM_300273;;;;2;;;;
5;20240331;1;LIM_300279;;;;2;;;;
5;20240331;1;LIM_300290;;;;2;;;;
5;20240331;1;LIM_300291;;;;2;;;;
5;20240331;1;LIM_300298;;;;2;;;;
5;20240331;1;LIM_300299;;;;2;;;;
