STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;IDE_INTERNAL_PARTY_REF;IDE_CONTRACT_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_AMOUNT;DTE_VALUE;IDE_SCENARIO_FK;AUDIT_INFO
5;20240331;1;PRL_5113197;CTP_CKV;;2;EUR;218770.60;218770.60;1;31/03/2024;1;
5;20240331;1;PRL_5113210;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113211;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113220;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113230;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113240;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113250;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113260;CTP_CKV;;1;EUR;3619.31;3619.31;1;31/03/2024;1;
5;20240331;1;PRL_5113270;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113291;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113292;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113293;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113294;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113295;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113296;CTP_CKV;;1;EUR;346.82;346.82;1;31/03/2024;1;
5;20240331;1;PRL_5113297;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113298;CTP_CKV;;2;EUR;3237.52;3237.52;1;31/03/2024;1;
5;20240331;1;PRL_5113299;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5114000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122100;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122310;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122320;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122330;CTP_CKV;;1;EUR;638453.94;638453.94;1;31/03/2024;1;
5;20240331;1;PRL_5122340;CTP_CKV;;1;EUR;136.26;136.26;1;31/03/2024;1;
5;20240331;1;PRL_5122350;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122355;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122360;CTP_CKV;;2;EUR;146542.51;146542.51;1;31/03/2024;1;
5;20240331;1;PRL_5122365;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122390;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5122391;CTP_CKV;;1;EUR;94020.88;94020.88;1;31/03/2024;1;
5;20240331;1;PRL_5122392;CTP_CKV;;1;EUR;398461.64;398461.64;1;31/03/2024;1;
5;20240331;1;PRL_5122440;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5141100;CTP_CKV;;1;EUR;879197.85;879197.85;1;31/03/2024;1;
5;20240331;1;PRL_5141200;CTP_CKV;;1;EUR;110528.13;110528.13;1;31/03/2024;1;
5;20240331;1;PRL_5141220;CTP_CKV;;1;EUR;26188.90;26188.90;1;31/03/2024;1;
5;20240331;1;PRL_5141300;CTP_CKV;;1;EUR;80983.51;80983.51;1;31/03/2024;1;
5;20240331;1;PRL_5141350;CTP_CKV;;2;EUR;91730.26;91730.26;1;31/03/2024;1;
5;20240331;1;PRL_5141400;CTP_CKV;;2;EUR;13500.00;13500.00;1;31/03/2024;1;
5;20240331;1;PRL_5142100;CTP_CKV;;1;EUR;250335.32;250335.32;1;31/03/2024;1;
5;20240331;1;PRL_5142200;CTP_CKV;;1;EUR;19191.64;19191.64;1;31/03/2024;1;
5;20240331;1;PRL_5142300;CTP_CKV;;1;EUR;2769.48;2769.48;1;31/03/2024;1;
5;20240331;1;PRL_5142310;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5143000;CTP_CKV;;1;EUR;89113.25;89113.25;1;31/03/2024;1;
5;20240331;1;PRL_5143100;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5143200;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5144100;CTP_CKV;;1;EUR;2266.72;2266.72;1;31/03/2024;1;
5;20240331;1;PRL_5144200;CTP_CKV;;1;EUR;49720.13;49720.13;1;31/03/2024;1;
5;20240331;1;PRL_5144300;CTP_CKV;;1;EUR;13136.55;13136.55;1;31/03/2024;1;
5;20240331;1;PRL_5144500;CTP_CKV;;1;EUR;28058.35;28058.35;1;31/03/2024;1;
5;20240331;1;PRL_5144600;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5144610;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5144620;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5145000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5151100;CTP_CKV;;1;EUR;146309.27;146309.27;1;31/03/2024;1;
5;20240331;1;PRL_5151110;CTP_CKV;;1;EUR;6249.99;6249.99;1;31/03/2024;1;
5;20240331;1;PRL_5151120;CTP_CKV;;1;EUR;5014.98;5014.98;1;31/03/2024;1;
5;20240331;1;PRL_5151150;CTP_CKV;;1;EUR;22022.10;22022.10;1;31/03/2024;1;
5;20240331;1;PRL_5151210;CTP_CKV;;1;EUR;116440.55;116440.55;1;31/03/2024;1;
5;20240331;1;PRL_5152210;CTP_CKV;;1;EUR;16501.32;16501.32;1;31/03/2024;1;
5;20240331;1;PRL_5152211;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5152220;CTP_CKV;;1;EUR;62852.49;62852.49;1;31/03/2024;1;
5;20240331;1;PRL_5152230;CTP_CKV;;1;EUR;12489.46;12489.46;1;31/03/2024;1;
5;20240331;1;PRL_5162110;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162120;CTP_CKV;;1;EUR;34486.97;34486.97;1;31/03/2024;1;
5;20240331;1;PRL_5162130;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162210;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162230;CTP_CKV;;1;EUR;218814.67;218814.67;1;31/03/2024;1;
5;20240331;1;PRL_5162240;CTP_CKV;;1;EUR;11052.57;11052.57;1;31/03/2024;1;
5;20240331;1;PRL_5162311;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162312;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162313;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162314;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162315;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162321;CTP_CKV;;1;EUR;36430.50;36430.50;1;31/03/2024;1;
5;20240331;1;PRL_5162322;CTP_CKV;;1;EUR;17224.61;17224.61;1;31/03/2024;1;
5;20240331;1;PRL_5162323;CTP_CKV;;1;EUR;90761.44;90761.44;1;31/03/2024;1;
5;20240331;1;PRL_5162324;CTP_CKV;;1;EUR;6379.84;6379.84;1;31/03/2024;1;
5;20240331;1;PRL_5162325;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162326;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162327;CTP_CKV;;1;EUR;102368.12;102368.12;1;31/03/2024;1;
5;20240331;1;PRL_5162328;CTP_CKV;;1;EUR;14388.00;14388.00;1;31/03/2024;1;
5;20240331;1;PRL_5162329;CTP_CKV;;1;EUR;14808.71;14808.71;1;31/03/2024;1;
5;20240331;1;PRL_5162330;CTP_CKV;;1;EUR;2523.40;2523.40;1;31/03/2024;1;
5;20240331;1;PRL_5162331;CTP_CKV;;1;EUR;71940.00;71940.00;1;31/03/2024;1;
5;20240331;1;PRL_5162332;CTP_CKV;;1;EUR;2834.71;2834.71;1;31/03/2024;1;
5;20240331;1;PRL_5162341;CTP_CKV;;2;EUR;24385.94;24385.94;1;31/03/2024;1;
5;20240331;1;PRL_5162342;CTP_CKV;;2;EUR;5121.00;5121.00;1;31/03/2024;1;
5;20240331;1;PRL_5162343;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162344;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162351;CTP_CKV;;1;EUR;62088.80;62088.80;1;31/03/2024;1;
5;20240331;1;PRL_5162352;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162357;CTP_CKV;;1;EUR;144537.98;144537.98;1;31/03/2024;1;
5;20240331;1;PRL_5162360;CTP_CKV;;1;EUR;5148.36;5148.36;1;31/03/2024;1;
5;20240331;1;PRL_5162361;CTP_CKV;;1;EUR;15878.12;15878.12;1;31/03/2024;1;
5;20240331;1;PRL_5162362;CTP_CKV;;1;EUR;29921.58;29921.58;1;31/03/2024;1;
5;20240331;1;PRL_5162363;CTP_CKV;;1;EUR;4817.63;4817.63;1;31/03/2024;1;
5;20240331;1;PRL_5162364;CTP_CKV;;1;EUR;13283.10;13283.10;1;31/03/2024;1;
