STATUS;VALID_ON;LOT_TYPE_FK;CDE_INTERNAL_RATING;CCY_ISO_CURRENCY;DES_INTERNAL_RATING;IDE_COUNTERPARTY_REF;IDE_LIMIT_REF;IDE_RATING_INT_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;TYP_CREDIT_ASSESSMENT
5;20240331;1;2;EUR;;GRP_1003786;;POS_603658;CON_1003786;CTP_CKV;24/07/2017;;
5;20240331;1;2;EUR;;GRP_1003788;;POS_603661;CON_1003788;CTP_CKV;02/07/2019;;
5;20240331;1;4;EUR;;GRP_1003794;;POS_603669;CON_1003794;CTP_CKV;22/01/2024;;
5;20240331;1;2;EUR;;GRP_1003798;;POS_603678;CON_1003798;CTP_CKV;27/07/2017;;
5;20240331;1;3;EUR;;GRP_1003804;;POS_603686;CON_1003804;CTP_CKV;05/09/2023;;
5;20240331;1;2;EUR;;GRP_1003805;;POS_603690;CON_1003805;CTP_CKV;01/08/2017;;
5;20240331;1;2;EUR;;GRP_1003805;;POS_603691;CON_1003805;CTP_CKV;01/08/2017;;
5;20240331;1;2;EUR;;GRP_0906291;;POS_603694;CON_0906291;CTP_CKV;02/08/2017;;
5;20240331;1;2;EUR;;GRP_1003095;;POS_603696;CON_1003095;CTP_CKV;04/08/2017;;
5;20240331;1;4;EUR;;GRP_1003814;;POS_603707;CON_1003814;CTP_CKV;10/09/2018;;
5;20240331;1;2;EUR;;GRP_1003817;;POS_603710;CON_1003817;CTP_CKV;09/08/2017;;
5;20240331;1;2;EUR;;GRP_1002404;;POS_603712;CON_1002404;CTP_CKV;24/04/2023;;
5;20240331;1;5;EUR;;GRP_1003825;;POS_603725;CON_1003825;CTP_CKV;03/12/2020;;
5;20240331;1;2;EUR;;GRP_1003834;;POS_603735;CON_1003834;CTP_CKV;02/07/2019;;
5;20240331;1;2;EUR;;GRP_1003839;;POS_603741;CON_1003839;CTP_CKV;18/08/2017;;
5;20240331;1;2;EUR;;GRP_1003839;;POS_603742;CON_1003839;CTP_CKV;18/08/2017;;
5;20240331;1;5;EUR;;GRP_1003840;;POS_603743;CON_1003840;CTP_CKV;06/10/2021;;
5;20240331;1;2;EUR;;GRP_1003842;;POS_603745;CON_1003842;CTP_CKV;28/08/2017;;
5;20240331;1;4;EUR;;GRP_1003845;;POS_603748;CON_1003845;CTP_CKV;12/06/2023;;
5;20240331;1;2;EUR;;GRP_1003846;;POS_603749;CON_1003846;CTP_CKV;24/05/2022;;
5;20240331;1;2;EUR;;GRP_1003848;;POS_603751;CON_1003848;CTP_CKV;29/08/2017;;
5;20240331;1;2;EUR;;GRP_1003851;;POS_603755;CON_1003851;CTP_CKV;16/06/2020;;
5;20240331;1;2;EUR;;GRP_1003852;;POS_603756;CON_1003852;CTP_CKV;30/08/2017;;
5;20240331;1;2;EUR;;GRP_1003852;;POS_603757;CON_1003852;CTP_CKV;30/08/2017;;
5;20240331;1;5;EUR;;GRP_1003854;;POS_603759;CON_1003854;CTP_CKV;05/12/2022;;
5;20240331;1;5;EUR;;GRP_1003854;;POS_603760;CON_1003854;CTP_CKV;05/12/2022;;
5;20240331;1;4;EUR;;GRP_1002034;;POS_603762;CON_1002034;CTP_CKV;17/09/2019;;
5;20240331;1;2;EUR;;GRP_0952865;;POS_603764;CON_0952865;CTP_CKV;04/09/2017;;
5;20240331;1;2;EUR;;GRP_1003112;;POS_603768;CON_1003112;CTP_CKV;04/09/2017;;
5;20240331;1;2;EUR;;GRP_1003860;;POS_603772;CON_1003860;CTP_CKV;07/09/2017;;
5;20240331;1;2;EUR;;GRP_1003860;;POS_603773;CON_1003860;CTP_CKV;07/09/2017;;
5;20240331;1;2;EUR;;GRP_1003864;;POS_603777;CON_1003864;CTP_CKV;21/03/2024;;
5;20240331;1;2;EUR;;GRP_1002754;;POS_603778;CON_1002754;CTP_CKV;24/05/2023;;
5;20240331;1;2;EUR;;GRP_1003870;;POS_603787;CON_1003870;CTP_CKV;06/09/2017;;
5;20240331;1;2;EUR;;GRP_1002270;;POS_603791;CON_1002270;CTP_CKV;11/09/2017;;
5;20240331;1;2;EUR;;GRP_1003879;;POS_603797;CON_1003879;CTP_CKV;27/07/2023;;
5;20240331;1;4;EUR;;GRP_0904541;;POS_603800;CON_0904541;CTP_CKV;12/07/2019;;
5;20240331;1;5;EUR;;GRP_1003882;;POS_603801;CON_1003882;CTP_CKV;19/10/2020;;
5;20240331;1;2;EUR;;GRP_1003883;;POS_603802;CON_1003883;CTP_CKV;14/09/2017;;
5;20240331;1;2;EUR;;GRP_1002470;;POS_603804;CON_1002470;CTP_CKV;14/09/2017;;
5;20240331;1;2;EUR;;GRP_1002470;;POS_603805;CON_1002470;CTP_CKV;14/09/2017;;
5;20240331;1;2;EUR;;GRP_1003886;;POS_603810;CON_1003886;CTP_CKV;15/09/2017;;
5;20240331;1;2;EUR;;GRP_1003887;;POS_603811;CON_1003887;CTP_CKV;02/09/2019;;
5;20240331;1;5;EUR;;GRP_1003888;;POS_603812;CON_1003888;CTP_CKV;06/12/2018;;
5;20240331;1;2;EUR;;GRP_1003893;;POS_603821;CON_1003893;CTP_CKV;19/09/2017;;
5;20240331;1;2;EUR;;GRP_1003893;;POS_603822;CON_1003893;CTP_CKV;19/09/2017;;
5;20240331;1;2;EUR;;GRP_1003895;;POS_603824;CON_1003895;CTP_CKV;02/01/2018;;
5;20240331;1;4;EUR;;GRP_1003900;;POS_603832;CON_1003900;CTP_CKV;24/04/2019;;
5;20240331;1;4;EUR;;GRP_1003900;;POS_603833;CON_1003900;CTP_CKV;24/04/2019;;
5;20240331;1;2;EUR;;GRP_1003901;;POS_603835;CON_1003901;CTP_CKV;25/09/2017;;
5;20240331;1;2;EUR;;GRP_1003902;;POS_603836;CON_1003902;CTP_CKV;22/09/2017;;
5;20240331;1;2;EUR;;GRP_1003904;;POS_603839;CON_1003904;CTP_CKV;03/10/2019;;
5;20240331;1;2;EUR;;GRP_1003914;;POS_603850;CON_1003914;CTP_CKV;28/09/2017;;
5;20240331;1;2;EUR;;GRP_1003917;;POS_603855;CON_1003917;CTP_CKV;28/09/2017;;
5;20240331;1;2;EUR;;GRP_1003917;;POS_603856;CON_1003917;CTP_CKV;02/08/2018;;
5;20240331;1;3;EUR;;GRP_0906608;;POS_603866;CON_0906608;CTP_CKV;08/01/2024;;
5;20240331;1;2;EUR;;GRP_1002957;;POS_603867;CON_1002957;CTP_CKV;29/09/2017;;
5;20240331;1;4;EUR;;GRP_1003924;;POS_603870;CON_1003924;CTP_CKV;22/09/2023;;
5;20240331;1;2;EUR;;GRP_1003925;;POS_603871;CON_1003925;CTP_CKV;02/10/2019;;
5;20240331;1;2;EUR;;GRP_1003928;;POS_603875;CON_1003928;CTP_CKV;03/10/2017;;
5;20240331;1;2;EUR;;GRP_1003928;;POS_603876;CON_1003928;CTP_CKV;03/10/2017;;
5;20240331;1;2;EUR;;GRP_1003929;;POS_603877;CON_1003929;CTP_CKV;04/10/2017;;
5;20240331;1;2;EUR;;GRP_1003931;;POS_603879;CON_1003931;CTP_CKV;06/10/2017;;
5;20240331;1;2;EUR;;GRP_1003931;;POS_603880;CON_1003931;CTP_CKV;06/10/2017;;
5;20240331;1;2;EUR;;GRP_1003934;;POS_603884;CON_1003934;CTP_CKV;06/10/2017;;
5;20240331;1;2;EUR;;GRP_1003935;;POS_603885;CON_1003935;CTP_CKV;02/02/2018;;
5;20240331;1;2;EUR;;GRP_0952155;;POS_603887;CON_0952155;CTP_CKV;13/05/2019;;
5;20240331;1;2;EUR;;GRP_1003940;;POS_603892;CON_1003940;CTP_CKV;20/02/2024;;
5;20240331;1;2;EUR;;GRP_1003940;;POS_603893;CON_1003940;CTP_CKV;20/02/2024;;
5;20240331;1;4;EUR;;GRP_1003941;;POS_603894;CON_1003941;CTP_CKV;17/02/2020;;
5;20240331;1;2;EUR;;GRP_1003942;;POS_603895;CON_1003942;CTP_CKV;02/10/2019;;
5;20240331;1;2;EUR;;GRP_1003943;;POS_603896;CON_1003943;CTP_CKV;31/12/2023;;
5;20240331;1;2;EUR;;GRP_1003943;;POS_603897;CON_1003943;CTP_CKV;28/11/2023;;
5;20240331;1;2;EUR;;GRP_1003944;;POS_603898;CON_1003944;CTP_CKV;13/10/2017;;
5;20240331;1;2;EUR;;GRP_1003944;;POS_603899;CON_1003944;CTP_CKV;13/10/2017;;
5;20240331;1;2;EUR;;GRP_1003946;;POS_603901;CON_1003946;CTP_CKV;12/10/2017;;
5;20240331;1;2;EUR;;GRP_1003954;;POS_603913;CON_1003954;CTP_CKV;14/09/2023;;
5;20240331;1;2;EUR;;GRP_0953218;;POS_603915;CON_0953218;CTP_CKV;21/02/2024;;
5;20240331;1;2;EUR;;GRP_0953218;;POS_603916;CON_0953218;CTP_CKV;26/02/2024;;
5;20240331;1;2;EUR;;GRP_1003956;;POS_603918;CON_1003956;CTP_CKV;19/10/2017;;
5;20240331;1;2;EUR;;GRP_1003957;;POS_603919;CON_1003957;CTP_CKV;19/10/2017;;
