STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;TYP_ENTRY_TYPE;DTE_MATURITY;IDE_COUNTERPARTY_REF;IDE_SOURCESYS_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_ISSUER_REF;PRD_PRODUCT;TYP_COLLATERAL;TYP_PORTFOLIO;AUDIT_INFO;CDE_RE_NUTS3;CTY_ASSET_LOCATION;TYP_COLL_VAL_APPR;DES_POSTALCODE;TYP_SUBSTITUTION;IDE_COLL_TO_POSITION_REF;TYP_REHYPOTH;TYP_SOLD_REPLEDGED;PER_LE_EXEMPT;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;IDE_INTERNAL_THREE
5;20240331;1;POS_1009710_HI_02;2;01/06/2030;GRP_1009710;PROGRESS 400LDLN;CON_1009710;CTP_CKV;;601001;120200;0;;FR823;FR;4;06190;;;;;;100,00;00,00;24338
5;20240331;1;POS_1009711_HI_01;2;01/06/2032;GRP_1009711;PROGRESS 400LDLN;CON_1009711;CTP_CKV;;601001;120200;0;;FR718;FR;4;74940;;;;;;100,00;00,00;23698
5;20240331;1;POS_1009712_HI_01;2;01/06/2040;GRP_1009712;PROGRESS 400LDLN;CON_1009712;CTP_CKV;;601001;120200;0;;FR107;FR;4;94170;;;;;;100,00;00,00;24030
5;20240331;1;POS_1009713_HI_01;2;01/06/2040;GRP_1009713;PROGRESS 400LDLN;CON_1009713;CTP_CKV;;601001;120200;0;;FR101;FR;4;75006;;;;;;100,00;00,00;24278
5;20240331;1;POS_1009714_HI_01;2;01/06/2027;GRP_1009714;PROGRESS 400LDLN;CON_1009714;CTP_CKV;;601001;120200;0;;FR612;FR;4;33185;;;;;;100,00;00,00;24245
5;20240331;1;POS_1009715_HI_01;2;01/06/2040;GRP_1009715;PROGRESS 400LDLN;CON_1009715;CTP_CKV;;601001;120200;0;;FR251;FR;4;14360;;;;;;100,00;00,00;24304
5;20240331;1;POS_1009716_HI_01;2;01/06/2030;GRP_1009716;PROGRESS 400LDLN;CON_1009716;CTP_CKV;;601001;120200;0;;FR718;FR;4;74940;;;;;;100,00;00,00;24133
5;20240331;1;POS_1009718_HI_01;2;01/06/2035;GRP_1009718;PROGRESS 400LDLN;CON_1009718;CTP_CKV;;601001;120200;0;;BE211;BE;4;2610;;;;;;100,00;00,00;23792
5;20240331;1;POS_1009719_HI_01;2;01/06/2030;GRP_1009719;PROGRESS 400LDLN;CON_1009719;CTP_CKV;;601001;120200;0;;FR101;FR;4;75019;;;;;;100,00;00,00;23923
5;20240331;1;POS_1009720_HI_01;2;01/07/2023;GRP_1009720;PROGRESS 400LDLN;CON_1009720;CTP_CKV;;601001;120200;0;;BE332;BE;4;4141;;;;;;100,00;00,00;22576
5;20240331;1;POS_1009720_HI_02;2;01/07/2023;GRP_1009720;PROGRESS 400LDLN;CON_1009720;CTP_CKV;;601001;120200;0;;BE332;BE;4;4141;;;;;;100,00;00,00;22577
5;20240331;1;POS_1009723_HI_01;2;01/07/2035;GRP_1009723;PROGRESS 400LDLN;CON_1009723;CTP_CKV;;601001;120100;0;;BE332;BE;4;4430;;;;;;50,00;50,00;24082
5;20240331;1;POS_1009724_HI_01;2;01/07/2040;GRP_1009724;PROGRESS 400LDLN;CON_1009724;CTP_CKV;;601001;120200;0;;BE231;BE;4;9308;;;;;;100,00;00,00;23851
5;20240331;1;POS_1009725_HI_01;2;01/06/2050;GRP_1009725;PROGRESS 400LDLN;CON_1009725;CTP_CKV;;601001;120100;0;;BE100;BE;4;1020;;;;;;50,00;50,00;23834
5;20240331;1;POS_1009727_HI_01;2;01/06/2030;GRP_1009727;PROGRESS 400LDLN;CON_1009727;CTP_CKV;;601001;120200;0;;BE234;BE;4;9041;;;;;;100,00;00,00;24344
5;20240331;1;POS_1009729_HI_01;2;01/06/2030;GRP_1009729;PROGRESS 400LDLN;CON_1009729;CTP_CKV;;601001;120200;0;;FR825;FR;4;83980;;;;;;100,00;00,00;24138
5;20240331;1;POS_1009731_HI_01;2;01/06/2035;GRP_1009731;PROGRESS 400LDLN;CON_1009731;CTP_CKV;;601001;120200;0;;FR823;FR;4;06200;;;;;;100,00;00,00;23900
5;20240331;1;POS_1009731_HI_02;2;01/06/2035;GRP_1009731;PROGRESS 400LDLN;CON_1009731;CTP_CKV;;601001;120200;0;;FR823;FR;4;06200;;;;;;100,00;00,00;23901
5;20240331;1;POS_1009731_HI_03;2;01/06/2035;GRP_1009731;PROGRESS 400LDLN;CON_1009731;CTP_CKV;;601001;120200;0;;FR823;FR;4;06200;;;;;;100,00;00,00;23902
5;20240331;1;POS_1009732_HI_01;2;01/06/2027;GRP_1009732;PROGRESS 400LDLN;CON_1009732;CTP_CKV;;601001;120200;0;;FR823;FR;4;06220;;;;;;100,00;00,00;24341
5;20240331;1;POS_1009733_HI_01;2;01/06/2035;GRP_1009733;PROGRESS 400LDLN;CON_1009733;CTP_CKV;;601001;120200;0;;FR823;FR;4;06800;;;;;;100,00;00,00;24223
5;20240331;1;POS_1009734_HI_01;2;01/06/2030;GRP_1009734;PROGRESS 400LDLN;CON_1009734;CTP_CKV;;601001;120200;0;;FR823;FR;4;06240;;;;;;100,00;00,00;24353
5;20240331;1;POS_1009735_HI_01;2;01/06/2025;GRP_1009735;PROGRESS 400LDLN;CON_1009735;CTP_CKV;;601001;120200;0;;FR101;FR;4;75006;;;;;;100,00;00,00;24345
5;20240331;1;POS_1009737_HI_01;2;01/06/2030;GRP_1009737;PROGRESS 400LDLN;CON_1009737;CTP_CKV;;601001;120200;0;;FR107;FR;4;94100;;;;;;100,00;00,00;24319
5;20240331;1;POS_1009738_HI_01;2;01/06/2040;GRP_1009738;PROGRESS 400LDLN;CON_1009738;CTP_CKV;;601001;120200;0;;FR812;FR;4;30610;;;;;;100,00;00,00;24096
