STATUS;VALID_ON;LOT_TYPE_FK;IDE_GL_REF;IDE_GL_DETAIL_REF;IDE_GL_ENTITY_REF;CDE_C013;CDE_CBF_RC;TYP_ECOSECTOR_CODE;TYP_RESIDUAL_DURATION;CDE_REP_PRUD_NONBANK;PRD_PRODUCT;TYP_OWN_FUND_GUAR;CDE_C018;CDE_C022;CDE_C081;AUDIT_INFO;DTE_END_INSTR;TYP_PURPOSE_CCR
5;20240331;1;GEL_2421510;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421520;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421600;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421610;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421620;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421630;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421640;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421650;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421655;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421660;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421670;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421700;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2422000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2422100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2422300;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2422400;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423110;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423111;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423112;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423113;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423114;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423115;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423116;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423117;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423118;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423119;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423120;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2423200;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2511000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2531000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2532000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2535000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2541000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2542000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2611010;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2620000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2730000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2811000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2841000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2842000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2843000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2843100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2844000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2844001;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2850000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2850001;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2860000;0;0;;;;;;;;;;;;;
