STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;CDE_C013;DTE_END_PROT;PRD_PRODUCT;AUDIT_INFO
5;20240331;1;POS_0907343_HI_01;;14/12/2031;;
5;20240331;1;POS_0907347_HI_01;;01/10/2027;;
5;20240331;1;POS_0907350_HI_01;;19/06/2027;;
5;20240331;1;POS_0907351_HI_01;;01/02/2028;;
5;20240331;1;POS_0907351_HI_02;;01/02/2028;;
5;20240331;1;POS_0907351_HI_03;;01/02/2028;;
5;20240331;1;POS_0907370_HI_01;;01/01/2032;;
5;20240331;1;POS_0907376_HI_01;;25/01/2027;;
5;20240331;1;POS_0907391_HI_01;;01/02/2027;;
5;20240331;1;POS_0907396_HI_01;;01/02/2032;;
5;20240331;1;POS_0907413_HI_01;;01/08/2039;;
5;20240331;1;POS_0907415_HI_01;;01/03/2027;;
5;20240331;1;POS_0907430_HI_01;;01/03/2032;;
5;20240331;1;POS_0907434_HI_01;;01/03/2032;;
5;20240331;1;POS_0907434_HI_02;;01/03/2032;;
5;20240331;1;POS_0907447_HI_01;;01/03/2032;;
5;20240331;1;POS_0907451_HI_01;;01/03/2027;;
5;20240331;1;POS_0907460_HI_01;;01/04/2032;;
5;20240331;1;POS_0907468_HI_01;;01/04/2027;;
5;20240331;1;POS_0907475_HI_01;;01/04/2027;;
5;20240331;1;POS_0907477_HI_01;;01/05/2027;;
5;20240331;1;POS_0907478_HI_01;;19/11/2025;;
5;20240331;1;POS_0907491_HI_01;;01/04/2028;;
5;20240331;1;POS_0907494_HI_01;;01/05/2027;;
5;20240331;1;POS_0907496_HI_01;;01/05/2032;;
5;20240331;1;POS_0907501_HI_01;;22/05/2027;;
5;20240331;1;POS_0907511_HI_01;;01/05/2032;;
5;20240331;1;POS_0907513_HI_01;;01/06/2032;;
5;20240331;1;POS_0907522_HI_01;;01/09/2028;;
5;20240331;1;POS_0907528_HI_01;;01/11/2030;;
5;20240331;1;POS_0907535_HI_01;;01/06/2032;;
5;20240331;1;POS_0907544_HI_01;;01/07/2027;;
5;20240331;1;POS_0907550_HI_01;;01/07/2032;;
5;20240331;1;POS_0907556_HI_01;;01/07/2032;;
5;20240331;1;POS_0907558_HI_01;;05/07/2024;;
5;20240331;1;POS_0907595_HI_01;;01/09/2040;;
5;20240331;1;POS_0907608_HI_01;;01/09/2032;;
5;20240331;1;POS_0907608_HI_02;;01/09/2032;;
5;20240331;1;POS_0907613_HI_01;;01/07/2035;;
5;20240331;1;POS_0907614_HI_01;;01/06/2029;;
5;20240331;1;POS_0907614_HI_02;;01/06/2029;;
5;20240331;1;POS_0907614_HI_03;;01/06/2029;;
5;20240331;1;POS_0907621_HI_01;;19/09/2022;;
5;20240331;1;POS_0907633_HI_01;;01/10/2032;;
5;20240331;1;POS_0907640_HI_01;;18/10/2027;;
5;20240331;1;POS_0907645_HI_01;;01/10/2037;;
5;20240331;1;POS_0907648_HI_01;;01/10/2027;;
5;20240331;1;POS_0907657_HI_01;;01/10/2042;;
5;20240331;1;POS_0907677_HI_02;;26/11/2027;;
5;20240331;1;POS_0907677_HI_03;;26/11/2027;;
5;20240331;1;POS_0907677_HI_04;;26/11/2027;;
5;20240331;1;POS_0907677_HI_05;;26/11/2027;;
5;20240331;1;POS_0907680_HI_01;;01/12/2017;;
5;20240331;1;POS_0907680_HI_02;;01/12/2017;;
5;20240331;1;POS_0907680_HI_03;;01/12/2017;;
5;20240331;1;POS_0907697_HI_01;;02/05/2031;;
5;20240331;1;POS_0907714_HI_01;;01/01/2038;;
5;20240331;1;POS_0907719_HI_01;;01/01/2023;;
5;20240331;1;POS_0907720_HI_01;;15/01/2033;;
5;20240331;1;POS_0907723_HI_01;;01/01/2033;;
5;20240331;1;POS_0907726_HI_01;;16/01/2023;;
5;20240331;1;POS_0907730_HI_01;;23/01/2025;;
5;20240331;1;POS_0907739_HI_01;;01/01/2033;;
5;20240331;1;POS_0907750_HI_01;;08/02/2033;;
5;20240331;1;POS_0907759_HI_01;;01/02/2033;;
5;20240331;1;POS_0907771_HI_01;;26/02/2016;;
5;20240331;1;POS_0907775_HI_01;;28/02/2016;;
5;20240331;1;POS_0907775_HI_02;;28/02/2016;;
5;20240331;1;POS_0907775_HI_03;;28/02/2016;;
5;20240331;1;POS_0907780_HI_01;;01/04/2046;;
5;20240331;1;POS_0907780_HI_02;;01/04/2046;;
5;20240331;1;POS_0907781_HI_01;;01/04/2028;;
5;20240331;1;POS_0907784_HI_01;;01/03/2033;;
5;20240331;1;POS_0907795_HI_01;;01/03/2025;;
5;20240331;1;POS_0907796_HI_01;;01/03/2043;;
5;20240331;1;POS_0907796_HI_02;;01/03/2043;;
5;20240331;1;POS_0907815_HI_01;;05/04/2025;;
5;20240331;1;POS_0907818_HI_01;;16/04/2028;;
5;20240331;1;POS_0907831_HI_01;;01/04/2025;;
5;20240331;1;POS_0907834_HI_01;;22/04/2033;;
5;20240331;1;POS_0907846_HI_01;;01/04/2033;;
5;20240331;1;POS_0907846_HI_02;;01/04/2033;;
5;20240331;1;POS_0907856_HI_01;;01/05/2032;;
5;20240331;1;POS_0907856_HI_02;;01/05/2032;;
5;20240331;1;POS_0907858_HI_01;;01/07/2037;;
5;20240331;1;POS_0907858_HI_02;;01/07/2037;;
5;20240331;1;POS_0907871_HI_01;;01/10/2037;;
5;20240331;1;POS_0907871_HI_02;;01/10/2037;;
5;20240331;1;POS_0907873_HI_01;;01/11/2029;;
5;20240331;1;POS_0907886_HI_01;;01/03/2038;;
5;20240331;1;POS_0907886_HI_02;;01/03/2038;;
5;20240331;1;POS_0907888_HI_01;;01/08/2033;;
5;20240331;1;POS_0907902_HI_01;;01/06/2035;;
5;20240331;1;POS_0907908_HI_01;;01/08/2038;;
5;20240331;1;POS_0907909_HI_01;;01/08/2028;;
5;20240331;1;POS_0907910_HI_01;;01/07/2024;;
5;20240331;1;POS_0907911_HI_01;;01/03/2034;;
5;20240331;1;POS_0907916_HI_01;;01/09/2038;;
5;20240331;1;POS_0907916_HI_02;;01/09/2038;;
5;20240331;1;POS_0907916_HI_03;;01/09/2038;;
5;20240331;1;POS_0907917_HI_01;;01/03/2034;;
5;20240331;1;POS_0907925_HI_02;;01/10/2035;;
5;20240331;1;POS_0907925_HI_03;;01/10/2035;;
5;20240331;1;POS_0907925_HI_04;;01/10/2035;;
5;20240331;1;POS_0907927_HI_01;;01/10/2028;;
5;20240331;1;POS_0907929_HI_01;;01/05/2029;;
5;20240331;1;POS_0907931_HI_01;;01/03/2034;;
5;20240331;1;POS_0907933_HI_01;;01/11/2040;;
5;20240331;1;POS_0907933_HI_02;;01/11/2040;;
5;20240331;1;POS_0907937_HI_01;;01/01/2029;;
5;20240331;1;POS_0907938_HI_01;;01/01/2024;;
5;20240331;1;POS_0907939_HI_01;;01/01/2036;;
5;20240331;1;POS_0907944_HI_01;;01/01/2038;;
5;20240331;1;POS_0907944_HI_02;;01/01/2038;;
5;20240331;1;POS_0907945_HI_01;;01/03/2024;;
5;20240331;1;POS_0907946_HI_03;;01/11/2039;;
5;20240331;1;POS_0907946_HI_04;;01/11/2039;;
5;20240331;1;POS_0907955_HI_01;;01/10/2025;;
5;20240331;1;POS_0907956_HI_01;;01/02/2035;;
5;20240331;1;POS_0907957_HI_01;;01/04/2024;;
5;20240331;1;POS_0907965_HI_01;;01/04/2032;;
5;20240331;1;POS_0907967_HI_01;;01/03/2029;;
5;20240331;1;POS_0907969_HI_01;;01/04/2028;;
5;20240331;1;POS_0907969_HI_02;;01/04/2028;;
5;20240331;1;POS_0907970_HI_01;;01/01/2030;;
5;20240331;1;POS_0907977_HI_01;;01/04/2029;;
5;20240331;1;POS_0907978_HI_01;;01/04/2024;;
5;20240331;1;POS_0907978_HI_02;;01/04/2024;;
5;20240331;1;POS_0907978_HI_03;;01/04/2024;;
5;20240331;1;POS_0907980_HI_01;;01/05/2029;;
5;20240331;1;POS_0907984_HI_01;;01/12/2040;;
5;20240331;1;POS_0907984_HI_02;;01/12/2040;;
5;20240331;1;POS_0907987_HI_01;;01/05/2029;;
5;20240331;1;POS_0907989_HI_01;;01/08/2039;;
5;20240331;1;POS_0907991_HI_01;;01/04/2039;;
5;20240331;1;POS_0907992_HI_01;;01/06/2034;;
5;20240331;1;POS_0907994_HI_01;;01/09/2029;;
5;20240331;1;POS_0907995_HI_01;;01/06/2036;;
5;20240331;1;POS_0907998_HI_01;;01/05/2029;;
5;20240331;1;POS_0908001_HI_01;;01/06/2024;;
5;20240331;1;POS_0908004_HI_01;;01/06/2039;;
5;20240331;1;POS_0908006_HI_01;;01/12/2039;;
5;20240331;1;POS_0908006_HI_02;;01/12/2039;;
5;20240331;1;POS_0908011_HI_01;;01/05/2026;;
5;20240331;1;POS_0908013_HI_01;;01/08/2039;;
5;20240331;1;POS_0908014_HI_01;;01/03/2031;;
5;20240331;1;POS_0908017_HI_01;;01/03/2031;;
5;20240331;1;POS_0908022_HI_01;;01/09/2039;;
5;20240331;1;POS_0908027_HI_01;;01/02/2026;;
5;20240331;1;POS_0908028_HI_01;;01/11/2024;;
5;20240331;1;POS_0908028_HI_02;;01/11/2024;;
5;20240331;1;POS_0908030_HI_01;;01/09/2028;;
5;20240331;1;POS_0908035_HI_01;;01/10/2029;;
5;20240331;1;POS_0908038_HI_01;;01/07/2029;;
5;20240331;1;POS_0908038_HI_02;;01/07/2029;;
5;20240331;1;POS_0908041_HI_01;;01/04/2030;;
5;20240331;1;POS_0908047_HI_01;;01/10/2037;;
5;20240331;1;POS_0908048_HI_01;;01/01/2030;;
5;20240331;1;POS_0908054_HI_01;;01/06/2036;;
5;20240331;1;POS_0908055_HI_01;;01/09/2029;;
5;20240331;1;POS_0908056_HI_01;;01/11/2031;;
5;20240331;1;POS_0908058_HI_01;;01/06/2027;;
5;20240331;1;POS_0908059_HI_01;;01/05/2041;;
5;20240331;1;POS_0908060_HI_01;;01/05/2024;;
5;20240331;1;POS_0908061_HI_01;;01/02/2041;;
5;20240331;1;POS_0908062_HI_01;;01/09/2036;;
5;20240331;1;POS_0908063_HI_01;;01/03/2035;;
5;20240331;1;POS_0908064_HI_01;;01/07/2040;;
5;20240331;1;POS_0908070_HI_01;;01/01/2040;;
5;20240331;1;POS_0908070_HI_02;;01/01/2040;;
5;20240331;1;POS_0908070_HI_03;;01/01/2040;;
5;20240331;1;POS_0908071_HI_01;;01/05/2041;;
5;20240331;1;POS_0908071_HI_02;;01/05/2041;;
5;20240331;1;POS_0908087_HI_01;;01/12/2029;;
5;20240331;1;POS_0908089_HI_01;;01/07/2031;;
5;20240331;1;POS_0908103_HI_01;;01/11/2030;;
5;20240331;1;POS_0908113_HI_01;;01/04/2031;;
5;20240331;1;POS_0908114_HI_01;;01/05/2033;;
5;20240331;1;POS_0908116_HI_01;;01/07/2031;;
5;20240331;1;POS_0908118_HI_01;;01/06/2034;;
5;20240331;1;POS_0908122_HI_01;;01/09/2036;;
5;20240331;1;POS_0908123_HI_01;;01/08/2036;;
5;20240331;1;POS_0908124_HI_01;;01/03/2037;;
5;20240331;1;POS_0908125_HI_01;;01/12/2025;;
5;20240331;1;POS_0908133_HI_01;;01/05/2043;;
5;20240331;1;POS_0908143_HI_01;;01/05/2028;;
5;20240331;1;POS_0908145_HI_01;;23/05/2028;;
5;20240331;1;POS_0908146_HI_01;;23/05/2033;;
5;20240331;1;POS_0908156_HI_01;;01/01/2034;;
5;20240331;1;POS_0908163_HI_01;;01/06/2033;;
5;20240331;1;POS_0908174_HI_01;;01/07/2032;;
5;20240331;1;POS_0908177_HI_01;;01/06/2028;;
5;20240331;1;POS_0908184_HI_01;;01/06/2028;;
5;20240331;1;POS_0908186_HI_01;;26/06/2033;;
5;20240331;1;POS_0908191_HI_01;;01/02/2037;;
5;20240331;1;POS_0908193_HI_01;;01/07/2033;;
5;20240331;1;POS_0908214_HI_01;;01/03/2028;;
5;20240331;1;POS_0908230_HI_01;;01/10/2035;;
5;20240331;1;POS_0908234_HI_01;;01/08/2033;;
5;20240331;1;POS_0908234_HI_02;;01/08/2033;;
5;20240331;1;POS_0908241_HI_01;;01/05/2027;;
